statement,status
"Too many deadlines",Stress
"Having a peaceful day",Normal
"I can't do this anymore",Suicidal
"Mind won't shut off",Anxiety
"Productive today",Normal
"Hiding my pain",Depression
"Stress building up",Stress
"Trying to be okay",Depression
"Thinking too much",Anxiety
"Feeling safe at home",Normal
"Mind racing all night",Anxiety
"Workload is insane",Stress
"Laughing a lot today",Normal
"Feeling abandoned",Depression
"Always on edge",Anxiety
"Breaking down again",Depression
"Deadline tomorrow",Stress
"I love weekends",Normal
"Why am I always scared?",Anxiety
"Life seems heavy",Depression
"Got too much on my plate",Stress
"Sunny days are the best",Normal
"Nothing makes me happy",Depression
"Nervous for no reason",Anxiety
"I feel like giving up",Suicidal
"I miss feeling alive",Depression
"Can't concentrate",Stress
"Having good dreams",Normal
"Constant fear inside",Anxiety
"Running out of time",Stress
"Finally feeling free",Normal
"Lost in sadness",Depression
"Feeling helpless",Depression
"I feel safe",Normal
"No one understands",Depression
"Big project stress",Stress
"Tense all the time",Anxiety
"Sunsets make me smile",Normal
"Wanting to vanish",Suicidal
"Pain inside grows",Depression
"Can't control my fear",Anxiety
"I am fine",Normal
"Nothing matters anymore",Depression
"Panic during meetings",Anxiety
"Had a good laugh",Normal
"I can't handle stress",Stress
"Not feeling anything",Depression
"Every little thing scares me",Anxiety
"Felt alive today",Normal
"Feeling hopeless",Depression
"Heart pounding again",Anxiety
"Struggling to get up",Depression
"Enjoying small things",Normal
"Hiding behind smiles",Depression
"Sick of trying",Suicidal
"Too much noise in my head",Anxiety
"Getting things done",Normal
"Can't talk to anyone",Depression
"Feeling shaky inside",Anxiety
"Overloaded with tasks",Stress
"Nature makes me happy",Normal
"Sinking deeper everyday",Depression
"Constantly worrying",Anxiety
"Work is crushing me",Stress
"Feeling strong today",Normal
"Waking up tired",Depression
"Every text scares me",Anxiety
"Taking deep breaths",Normal
"Avoiding everyone",Depression
"Tasks never end",Stress
"Feeling tense for no reason",Anxiety
"Small wins today",Normal
"Want to run far away",Suicidal
"Trust issues rising",Anxiety
"Breathing in peace",Normal
"Feeling unwanted",Depression
"Can't focus anymore",Stress
"I am relaxed",Normal
"Lost faith in people",Depression
"Brain won't stop",Anxiety
"Managing stress well",Normal
"I just want peace",Depression
"Feeling weirdly calm",Normal
"Anxious thoughts again",Anxiety
"Cuddling with my dog",Normal
"Losing grip",Depression
"Feeling light today",Normal
"Tired of acting happy",Depression
"Pressure building up",Stress
"Mind buzzing again",Anxiety
"Staying positive",Normal
"Holding back tears",Depression
"Living moment to moment",Normal
"Fear controls me",Anxiety
"Relaxed under the stars",Normal
"Crying in secret",Depression
"Task list never ends",Stress
"Anxiety attacks suck",Anxiety
"Feeling blessed",Normal
"Drowning in sadness",Depression
"Taking it slow",Normal
"Everything overwhelms me",Anxiety
"Being productive",Normal
"No more energy",Depression
"Feeling drained",Stress
"Deep breaths help",Normal
"Feeling lost again",Depression
"Always second-guessing",Anxiety
"Resting today",Normal
"Dark thoughts again",Depression
"Fearing everything",Anxiety
"Good day overall",Normal
"I am so happy",Normal
"Slipping into sadness",Depression
"Can't stop shaking",Anxiety
"Work is chaotic",Stress
"Smiling at small joys",Normal
"Crumbling inside",Depression
"Feeling anxious and lost",Anxiety
"Breathing in calmness",Normal
"Everything feels wrong",Depression
"Facing my fears",Anxiety
"Chilling with friends",Normal
"Feeling like a ghost",Depression
"Anxiety messing me up",Anxiety
"Laughing a lot",Normal
"Weight of stress",Stress
"Trying to stay hopeful",Depression
"Worrying about everything",Anxiety
"Taking time to rest",Normal
"Feeling better now",Normal
"Still hurting inside",Depression
"Anxiety ruining sleep",Anxiety
"Binge working",Stress
"Grateful for today",Normal
"Numbness all over",Depression
"Tension rising",Stress
"Hopeful despite fear",Normal
"Broken but breathing",Depression
"Every sound scares me",Anxiety
"Feeling calm finally",Normal
"Tasks stressing me out",Stress
"Guilt consumes me",Depression
"Overthinking everything",Anxiety
"Content for now",Normal
"Fighting unseen battles",Depression
"Fear of failing",Anxiety
"Doing okay today",Normal
"Silently hurting",Depression
"Worried about the future",Anxiety
"Feeling grateful",Normal
"Tired of fake smiles",Depression
"No reason to smile",Depression
"Holding on barely",Depression
"I feel so nervous",Anxiety
"Can't wait to die",Suicidal
"tired of everything",Depression
